level_0,level_1,level_2,incorr4_data
13,1,17,2.086916023647092e-06
13,1,18,-9.098468034671258e-08
13,1,19,-3.530477313546125e-06
13,1,20,-6.886833682832622e-06
13,1,21,-7.657704668839716e-06
13,1,22,-4.600119860122834e-06
13,1,23,9.168174210764268e-07
13,1,24,5.61463574921635e-06
14,0,0,4.910451826120008e-06
14,0,1,4.264891749586227e-06
14,0,2,3.993340274452645e-06
14,0,3,3.840052943738034e-06
14,0,4,3.3432927509934485e-06
14,0,5,2.3434431917803274e-06
14,0,6,1.2916930437887445e-06
14,0,7,9.319857920396816e-07
14,0,8,1.6335565549199511e-06
14,0,9,2.9899635128345485e-06
14,0,10,4.180682361490016e-06
14,0,11,4.673757645445989e-06
14,0,12,4.619253082348079e-06
14,0,13,4.5183086276919925e-06
14,0,14,4.576910282583501e-06
14,0,15,4.438792596124746e-06
14,0,16,3.6202309814269606e-06
14,0,17,2.1156315002940628e-06
14,0,18,5.556993156502153e-07
14,0,19,-3.611086012064363e-07
14,0,20,-5.173251870254314e-07
14,0,21,-4.738589339137476e-07
14,0,22,-8.523966370973233e-07
14,0,23,-1.6925811248540856e-06
14,0,24,-2.3787214003941434e-06
14,1,0,-5.781532031255319e-06
14,1,1,-3.2385593413533165e-06
14,1,2,-2.2423064699414214e-06
14,1,3,-2.934655684004063e-06
14,1,4,-3.6564816217904026e-06
14,1,5,-2.0702482596961517e-06
14,1,6,2.218904443320325e-06
14,1,7,6.901210247696715e-06
14,1,8,8.405464302736732e-06
14,1,9,5.086942913607774e-06
14,1,10,-1.537695266227819e-06
14,1,11,-7.984757513279205e-06
14,1,12,-1.193997613484004e-05
14,1,13,-1.3510787013147575e-05
14,1,14,-1.4497451991270509e-05
14,1,15,-1.590069756322648e-05
14,1,16,-1.7245658348249765e-05
14,1,17,-1.7388825913165892e-05
14,1,18,-1.660806326263492e-05
14,1,19,-1.655160037551597e-05
14,1,20,-1.8967115020820718e-05
14,1,21,-2.3396137460915552e-05
14,1,22,-2.7383384120775517e-05
14,1,23,-2.7946191092151264e-05
14,1,24,-2.4224276782561487e-05
15,0,0,-6.406975539877645e-06
15,0,1,-5.752166993482663e-06
15,0,2,-3.9389634044127665e-06
15,0,3,-1.2978690586026335e-06
15,0,4,1.058537252304699e-06
15,0,5,1.9996601920524264e-06
15,0,6,1.20206288529025e-06
15,0,7,-6.142377606590083e-07
15,0,8,-2.2073465844779693e-06
15,0,9,-2.6985972401360564e-06
15,0,10,-2.0744252051257554e-06
15,0,11,-9.774212376342524e-07
15,0,12,-6.298860833522244e-08
15,0,13,4.7103672633735697e-07
15,0,14,8.105864374380399e-07
15,0,15,1.0863723380672346e-06
15,0,16,1.1034118125083286e-06
15,0,17,5.49964815045881e-07
15,0,18,-5.589901403786774e-07
15,0,19,-1.7475317041603912e-06
15,0,20,-2.4351262617502544e-06
15,0,21,-2.4714407486427123e-06
15,0,22,-2.260547841648818e-06
15,0,23,-2.3807564857691556e-06
15,0,24,-3.0716037602589088e-06
15,1,0,1.0491405348048995e-06
15,1,1,-1.1346502502329799e-07
15,1,2,-8.215352986190138e-07
15,1,3,8.834455133859329e-07
