level_0,level_1,level_2,correct_data
10,1,1,-2.5771782768283522e-05
10,1,2,-2.5253423167443615e-05
10,1,3,-2.482918535570331e-05
10,1,4,-2.4000031765550843e-05
10,1,5,-2.2680028970707635e-05
10,1,6,-2.2255961416378037e-05
10,1,7,-2.396015515165634e-05
10,1,8,-2.719770459007776e-05
10,1,9,-2.8934280702796284e-05
10,1,10,-2.638410990791931e-05
10,1,11,-1.958056993390351e-05
10,1,12,-1.216582913850738e-05
10,1,13,-8.079523224637257e-06
10,1,14,-8.31463488450661e-06
10,1,15,-9.70422857698766e-06
10,1,16,-8.46856431849024e-06
10,1,17,-3.980914030056096e-06
10,1,18,-4.101574238302593e-07
10,1,19,-2.9956498556937063e-06
10,1,20,-1.3581683945196625e-05
10,1,21,-2.7939631088668565e-05
10,1,22,-3.893775632419073e-05
10,1,23,-4.1341587236584524e-05
10,1,24,-3.589703172850655e-05
11,0,0,7.0444738552547805e-06
11,0,1,6.228769145356775e-06
11,0,2,5.597415012478492e-06
11,0,3,5.3110493236238024e-06
11,0,4,5.263548961227557e-06
11,0,5,5.2130007001413125e-06
11,0,6,5.149041393780765e-06
11,0,7,5.157358177255587e-06
11,0,8,5.271953419992936e-06
11,0,9,5.241916083726712e-06
11,0,10,4.8676277217520796e-06
11,0,11,4.2033400576360895e-06
11,0,12,3.7045869800712828e-06
11,0,13,3.755696945093712e-06
11,0,14,4.481100835090142e-06
11,0,15,5.647912341860678e-06
11,0,16,7.145026135789618e-06
11,0,17,9.00699173832486e-06
11,0,18,1.1325493856526817e-05
11,0,19,1.3716396847239087e-05
11,0,20,1.5505899731623374e-05
11,0,21,1.6105242197107404e-05
11,0,22,1.5741217301096276e-05
11,0,23,1.521704129965292e-05
11,0,24,1.5336147272380397e-05
11,1,0,8.557684614251323e-06
11,1,1,6.088495228826927e-06
11,1,2,5.9373426641081285e-06
11,1,3,4.633033018678918e-06
11,1,4,4.172935922151174e-07
11,1,5,-5.129712812090669e-06
11,1,6,-8.413823650564231e-06
11,1,7,-7.142224892066416e-06
11,1,8,-1.9674035067818646e-06
11,1,9,4.324867832891535e-06
11,1,10,9.486619961015803e-06
11,1,11,1.3039792441890273e-05
11,1,12,1.5749846586955284e-05
11,1,13,1.785788799005207e-05
11,1,14,1.886346900306223e-05
11,1,15,1.8250628180811225e-05
11,1,16,1.6759801905748273e-05
11,1,17,1.581106649523327e-05
11,1,18,1.6334369381749915e-05
11,1,19,1.7636471865403974e-05
11,1,20,1.8292344156818e-05
11,1,21,1.7366798678756482e-05
11,1,22,1.542825798676547e-05
11,1,23,1.3529186455036495e-05
11,1,24,1.2203586265917288e-05
12,0,0,3.1767078799450075e-06
12,0,1,1.812364125447651e-06
12,0,2,1.214169987991191e-06
12,0,3,1.496368463009731e-06
12,0,4,2.2144673824021384e-06
12,0,5,2.855621320838053e-06
12,0,6,3.0461058940158166e-06
12,0,7,2.7128830374275595e-06
12,0,8,1.8562479730578765e-06
12,0,9,6.582382054917385e-07
12,0,10,-5.865016733962359e-07
12,0,11,-1.3622301797284117e-06
12,0,12,-1.3658181363803706e-06
12,0,13,-6.735781071583038e-07
12,0,14,5.967874674550019e-08
